순위,관광지명,광역시,시/군/구,lat,lng,area_cd,are_nm,distance_to_center_km,중분류 카테고리,소분류 카테고리,검색건수,실내/실외 구분,추천 연령대,K-Beauty_추천_페르소나
1938,올데이스마일,서울특별시,강남구,37.5089236061107,127.031668862662,POI037,신논현역·논현역,0.711,문화관광,테마공원,668,혼합,3040세대,미국
1939,송암사,서울특별시,노원구,37.68238133443033,127.08866461543876,POI070,쌍문역,6.063,역사관광,종교성지,667,혼합,5060세대,공통(전체)
1940,이순신장군동상,서울특별시,종로구,37.57099550151256,126.97699839385918,POI088,광화문광장,0.179,기타관광,기타관광,666,혼합,전연령,공통(전체)
1941,양재천벚꽃길,서울특별시,강남구,37.4842278490895,127.05009042856,POI041,양재역,1.406,기타관광,기타관광,666,혼합,전연령,공통(전체)
1942,아트나인,서울특별시,동작구,37.4846217805965,126.98170019714026,POI051,총신대입구(이수)역,0.074,문화관광,공연시설,665,실내,전연령,"중국, 홍콩"
1943,스케치홀,서울특별시,종로구,37.5831701538168,127.002275627788,POI054,혜화역,0.129,문화관광,공연시설,665,실내,전연령,"중국, 홍콩"
1944,동대문디자인플라자어울림광장,서울특별시,중구,37.5671879174452,127.00990648675,POI083,DDP(동대문디자인플라자),0.001,문화관광,기타문화관광지,664,혼합,1020세대,일본
1945,본다빈치뮤지엄,서울특별시,광진구,37.54802657871,127.076176219401,POI100,서울대공원,0.418,문화관광,전시시설,663,실내,3040세대,"중국, 일본, 미국"
1946,강북청년창업마루,서울특별시,강북구,37.6474093760388,127.017370844551,POI036,수유역,1.279,문화관광,기타문화관광지,662,혼합,1020세대,일본
1947,짐스아동발달센터목동점,서울특별시,양천구,37.525146146536656,126.858752348449,POI117,신정네거리역,0.753,체험관광,체험관광기타,662,실내,3040세대,대만
1948,언구비공원,서울특별시,서초구,37.5088918882616,127.020186629503,POI037,신논현역·논현역,0.652,문화관광,도시공원,661,실외,3040세대,대만
1949,청파어린이공원,서울특별시,용산구,37.5535249340557,126.968185523007,POI033,서울역,0.14,문화관광,도시공원,661,실외,3040세대,대만
1950,해피홀,서울특별시,서대문구,37.55842627330358,126.93836673352844,POI122,신촌 스타광장,0.22,레저스포츠,기타레저스포츠,660,혼합,전연령,공통(전체)
1951,오미생태공원,서울특별시,금천구,37.446395253927,126.911451897308,POI019,구로디지털단지역,4.41,문화관광,도시공원,659,실외,3040세대,대만
1952,테힐림아트홀,서울특별시,강남구,37.5232328332334,127.026425925004,POI059,가로수길,0.422,문화관광,공연시설,659,실내,전연령,"중국, 홍콩"
1953,윤형빈소극장홍대점,서울특별시,마포구,37.5522135177338,126.922439996039,POI055,홍대입구역(2호선),0.531,문화관광,공연시설,658,실내,1020세대,"중국, 홍콩"
1954,허브다섯메,서울특별시,송파구,37.51458508065134,127.13932294692076,POI127,올림픽공원,1.761,체험관광,농/산/어촌체험,657,혼합,전연령,공통(전체)
1955,신중어린이공원,서울특별시,서초구,37.4823314458038,127.010727416131,POI018,교대역,1.19,문화관광,도시공원,656,실외,3040세대,대만
1956,수파워점핑줄넘기전문교육관,서울특별시,강동구,37.5605606295599,127.162405757135,POI016,고덕역,0.951,레저스포츠,기타레저스포츠,655,혼합,전연령,공통(전체)
1957,산림문학관문학의집서울,서울특별시,중구,37.5581382367329,126.989275306879,POI003,명동 관광특구,0.617,문화관광,기타문화관광지,654,혼합,1020세대,일본
1958,디아드멤버스라운지,서울특별시,강남구,37.5231308156031,127.034238268498,POI071,압구정로데오거리,0.592,문화관광,기타문화관광지,652,혼합,1020세대,일본
1959,까치공원,서울특별시,중랑구,37.508501703267655,127.02514267350736,POI037,신논현역·논현역,0.412,문화관광,도시공원,651,실외,3040세대,대만
1960,리버시티수상스키장,서울특별시,강남구,37.52879795536262,127.01896336742132,POI111,잠원한강공원,0.163,레저스포츠,수상레저스포츠,648,혼합,전연령,공통(전체)
