순위,상품명,카테고리 이름,브랜드 이름,가격,할인 가격,image_url,oliveyoung_best_combined_0317 (1),oliveyoung_best_combined_0318,oliveyoung_best_combined_0321,oliveyoung_best_combined_0325,oliveyoung_best_combined_0328,goods_no,
29,라로슈포제 시카플라스트 멀티 리페어 크림 100ml 기획 (+멜라B3 세럼 3ml 증정),스킨케어,라로슈포제,52000.0,44200.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022429206ko.jpg?l=ko,18.0,20.0,9.0,5.0,12.0,A000000224292,
30,[1등마스크] 토리든 시트 마스크 10매 4종(수분/진정/브라이트닝/모공),마스크팩,토리든,30000.0,15000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0015/A00000015875277ko.jpg?l=ko,7.0,14.0,18.0,1.0,28.0,A000000158752,
31,[1등필링/화잘먹] 닥터지 브라이트닝 필링젤 기획 (120g+60g+히알시카세럼2ml/120g+120g+10g),클렌징,닥터지,21000.0,16820.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0016/A00000016227933ko.jpg?l=ko,13.0,19.0,15.0,12.0,14.0,A000000162279,
32,[3월올영픽/카니Pick] 메이크프렘 세이프 미 클렌징밀크 기획 (+리필 200ml+PDRN 클렌징밀크 21ml*2),클렌징,메이크프렘,34000.0,22600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024718209ko.jpg?l=ko,2.0,2.0,3.0,18.0,51.0,A000000247182,
33,[1+1/깐달걀피부결] 이니스프리 레티놀 시카 흔적 앰플 30ml 더블 기획,스킨케어,이니스프리,52000.0,28000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023020848ko.jpg?l=ko,10.0,9.0,16.0,22.0,18.0,A000000230208,
34,[3월단독/1등모공패드]메디큐브 제로 모공 패드 150매 한정기획 (패드 3종 택1),마스크팩,메디큐브,33000.0,28900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021435873ko.jpg?l=ko,13.0,12.0,26.0,10.0,15.0,A000000214358,
35,[수분진정 보습탄력/미니어처 증정] 메디힐 더마 크림 팩클렌저 120ml 단품/기획 2종 (+20ml 추가 증정),클렌징,메디힐,21000.0,15900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023739448ko.jpg?l=ko,17.0,4.0,11.0,20.0,28.0,A000000237394,
36,아비브 어성초 흔적 에센스 패드 클리어터치 70매 리필기획 (+70매 리필),마스크팩,아비브,40000.0,28000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0021/A00000021955554ko.png?l=ko,27.0,18.0,10.0,16.0,16.0,A000000219555,
37,바이오더마 하이드라비오 에센스로션 200ml 기획(+안개분사 미스트 증정),스킨케어,바이오더마,35000.0,35000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022608619ko.jpg?l=ko,9.0,13.0,25.0,13.0,26.0,A000000226086,
38,[3월올영픽/쫀쫀버블] 마녀공장 퓨어&딥 클렌징폼 160mlx2 더블기획,클렌징,마녀공장,17500.0,12600.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020798244ko.jpg?l=ko,12.0,12.0,13.0,9.0,46.0,A000000207982,
39,[1매/5종] 아비브 껌딱지 시트 마스크 스티커 1매 (어성초/수분초/마데카소사이드/콜라겐밀크/비타),마스크팩,아비브,4000.0,2000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0018/A00000018801943ko.png?l=ko,14.0,22.0,15.0,21.0,21.0,A000000188019,
40,[115ml 대용량 기획/3월 올영픽] 구달 청귤 비타C 잡티케어 세럼 알파 50ml 더블 기획(+신제품 TXA세럼),스킨케어,구달,46000.0,31500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024777410ko.jpg?l=ko,19.0,6.0,28.0,20.0,22.0,A000000247774,
41,에스트라 아토베리어365 하이드로 에센스 200ml 기획(+클렌징밀크 30ml),스킨케어,에스트라,32000.0,32000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024509502ko.jpg?l=ko,19.0,16.0,14.0,20.0,25.0,A000000245095,
42,바이오더마 시카비오 포마드 100ml 기획 (+거즈 시트 마스크 10매),스킨케어,바이오더마,38000.0,29900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024546302ko.jpg?l=ko,25.0,21.0,20.0,15.0,18.0,A000000245463,
43,[1+1/단독대용량] 듀이트리 하이 아미노 올 클렌징 밀크 200ml 기획 (+200ml 리필+20ml),클렌징,듀이트리,28500.0,18500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023117509ko.jpg?l=ko,21.0,18.0,31.0,16.0,17.0,A000000231175,
44,아누아 피디알엔 히알루론산 100 수분크림 60mL 2입 기획세트,스킨케어,아누아,64000.0,29500.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023189226ko.png?l=ko,8.0,21.0,15.0,36.0,24.0,A000000231892,
45,[단독기획/대용량] 파티온 노스카나인 트러블 크림 75ml 기획(+5ml),스킨케어,파티온,45000.0,32000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023230404ko.jpg?l=ko,20.0,19.0,18.0,14.0,34.0,A000000232304,
46,[3월 올영픽] 이지듀 기미 앰플 쿠션 리필 기획 (퍼프 2매 증정),더모 코스메틱,이지듀,58900.0,51900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0022/A00000022806923ko.jpg?l=ko,22.0,6.0,17.0,26.0,32.0,A000000228069,
47,[화잘먹/브러쉬증정기획] 피캄 홀리바질 버블 딥 마스크 90g 기획 (+듀얼모공브러쉬),마스크팩,피캄,25500.0,20400.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0023/A00000023819821ko.png?l=ko,24.0,19.0,17.0,24.0,27.0,A000000238198,
48,[화잘먹 마스크] 마몽드 플로라 글로우 로즈 리퀴드 마스크 80ml 기획,마스크팩,마몽드,30000.0,21900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A000000200805118ko.jpg?l=ko,18.0,21.0,20.0,26.0,23.0,A000000200805,
49,[3월 올영픽/여배우광채크림]메디큐브 PDRN 핑크 콜라겐 캡슐크림 55g 기획 (+4.5g*2ea),스킨케어,메디큐브,33300.0,23800.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0024/A00000024882619ko.jpg?l=ko,20.0,12.0,25.0,32.0,19.0,A000000248826,
50,[10매] 넘버즈인 1번~5번 마스크팩 10매 기획 5종 중 택 1,마스크팩,넘버즈인,40000.0,17900.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020597931ko.jpg?l=ko,21.0,16.0,23.0,19.0,34.0,A000000205979,
51,(50%용량증정) 에스트라 더마UV365 장벽수분 무기자차 선크림 40ml+20ml 기획,더모 코스메틱,에스트라,31000.0,31000.0,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/10/0000/0020/A00000020682619ko.jpg?l=ko,12.0,24.0,10.0,36.0,35.0,A000000206826,
